id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16795930,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Scudderia mexicana,153211
16795931,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Orchelimum unispina,256576
16796239,2018-09-22,293968,32.2239883333,-110.7671966667,Pima,Arizona,United States,Leptoglossus zonatus,154551
16797340,2018-09-21,275891,32.3375916653,-110.6908937075,Pima,Arizona,United States,Schistocerca albolineata,205713
16797341,2018-09-21,275891,32.3375916653,-110.6908937075,Pima,Arizona,United States,Brephidium exilis,53843
16800763,2018-09-22,1207613,32.2475224,-110.88615864,Pima,Arizona,United States,Sphinx chersis,127169
16801382,2018-09-12,150454,31.4969116667,-110.849425,Santa Cruz,Arizona,United States,Libytheana carinenta,58561
16802298,2018-09-21,20834,31.7122290342,-110.8695770653,Santa Cruz,Arizona,United States,Amblycheila baroni,213318
16802315,2018-09-22,20834,32.24398,-111.1651611667,Pima,Arizona,United States,Systasea zampa,204771
16805120,2018-08-26,1227607,36.0557823181,-112.2241668701,Coconino,Arizona,United States,Dasymutilla magnifica,299958
16805673,2018-09-22,1149752,31.3455217465,-110.2586612665,Cochise,Arizona,United States,Brachystola magna,122262
16805919,2018-09-14,1112392,31.730505961,-111.0554011008,Pima,Arizona,United States,Abaeis nicippe,81727
16806050,2018-09-16,1112392,32.3919485075,-110.990285154,Pima,Arizona,United States,Plodia interpunctella,124184
16806071,2018-09-17,1112392,32.3920028643,-110.990285154,Pima,Arizona,United States,Libytheana carinenta,58561
16806547,2018-09-20,1112392,32.4270857333,-110.7407939484,Pima,Arizona,United States,Libytheana carinenta,58561
16806561,2018-09-22,1149752,31.3442544407,-110.281636119,Cochise,Arizona,United States,Polistes comanchus navajoe,313499
16807584,2018-09-20,1112392,32.4270907461,-110.740876716,Pima,Arizona,United States,Hemiargus ceraunus,69940
16807728,2018-09-20,1112392,32.427103087,-110.7408767335,Pima,Arizona,United States,Leptotes marina,59152
16807854,2018-09-20,1112392,32.4271083632,-110.7408720439,Pima,Arizona,United States,Hemiargus ceraunus,69940
16809041,2018-09-22,682437,33.48643,-111.8954466667,Maricopa,Arizona,United States,Libytheana carinenta,58561
16809889,2018-09-22,758510,32.3567065372,-110.2366766229,Cochise,Arizona,United States,Sympetrum signiferum,113527
16810249,2018-09-03,922012,34.1536609279,-109.3085501954,Apache,Arizona,United States,Sympetrum corruptum,68138
